                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5457,                 2.5395,                 1.5114,                 1.4832,                0.19769,                0.29091,                0.13755,                0.05496,                0.20731,                0.23776,                0.10314,                 0.0419,                 1.9793,                 4.4329,                 2.7999,                 1.8226,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.4707,                  2.416,                 1.5143,                 1.3906,                0.37814,                0.25984,                 0.2191,                0.12343,                0.35387,                0.24398,                0.19508,                0.09182,                  1.818,                 4.2929,                 2.6258,                 1.6609,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.4289,                 2.2963,                 1.4542,                 1.3672,                0.26033,                    0.3,                0.17669,                0.09466,                0.25136,                0.25335,                0.15626,                 0.0766,                 1.9211,                 4.3582,                 2.8569,                  1.724,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.3767,                 2.2214,                 1.4282,                  1.357,                 0.2799,                0.24545,                0.16015,                0.08243,                0.30088,                0.26364,                0.16901,                0.08048,                 1.9078,                  4.113,                 3.0086,                 1.7493,               0.001835,               0.001835,               0.001835
                     28,                 1.5402,                 2.6073,                 1.6114,                 1.4589,                0.50423,                0.24545,                0.26243,                 0.1296,                0.53908,                0.25455,                0.27078,                 0.1436,                 1.9007,                 3.3224,                  2.247,                 1.7455,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.4537,                 2.2616,                 1.4733,                 1.3825,                0.23934,                0.21818,                0.14514,                0.07266,                 0.2807,                0.19091,                0.12281,                0.05815,                 2.1508,                 4.1014,                 2.8065,                 1.9509,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.3967,                  2.253,                 1.4357,                 1.3562,                0.34492,                0.25455,                0.25778,                0.12389,                0.33549,                0.24545,                0.22756,                0.12343,                 2.0636,                 3.7611,                 2.8258,                 1.9146,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.5166,                 2.3423,                 1.4511,                 1.4359,                0.45217,                0.36364,                0.31405,                0.13611,                0.44037,                0.35455,                0.29666,                0.13325,                 1.9687,                  3.511,                 2.7272,                 1.9147,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.4181,                 2.1555,                 1.3771,                  1.355,                0.52242,                0.35455,                 0.3337,                0.15467,                 0.4763,                0.31818,                0.29642,                 0.1415,                 1.8504,                 3.6539,                 2.2851,                 1.7403,               0.001802,               0.001802,               0.001802
                     33,                 1.4633,                 2.2705,                 1.3578,                 1.3935,                0.46263,                0.33636,                0.31947,                0.13769,                0.40751,                0.38182,                0.32322,                0.16302,                 1.8642,                 3.4081,                 2.1759,                 1.7638,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.4331,                 2.1784,                 1.3184,                 1.3792,                0.39071,                    0.4,                0.34673,                0.16853,                0.46857,                0.36364,                0.33471,                 0.1636,                  1.779,                 3.0916,                 2.0905,                 1.7167,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.3635,                 2.1675,                 1.3234,                 1.3311,                0.39978,                0.37273,                0.30714,                0.12549,                0.33668,                0.31818,                0.25438,                0.12208,                 1.8925,                 3.4149,                 2.3216,                 1.7802,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.3989,                 2.3689,                  1.324,                 1.3899,                0.51118,                0.26364,                0.24886,                0.12441,                0.52881,                0.27273,                0.24517,                0.11983,                  1.879,                 3.6034,                 2.5071,                 1.7812,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.3581,                 2.1577,                 1.3238,                 1.3562,                0.46935,                0.29091,                0.28158,                0.14307,                0.48662,                0.29091,                0.27858,                0.13847,                 1.7583,                 3.2748,                 2.2903,                 1.6452,               0.001769,               0.001769,               0.001769
                     38,                 1.3256,                 2.0731,                 1.2268,                 1.2936,                0.52059,                0.33636,                0.35421,                0.19254,                0.67672,                    0.3,                0.33151,                0.17163,                 1.7623,                 3.2576,                 2.0705,                 1.6097,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.3492,                 2.1721,                 1.3166,                 1.3456,                0.52174,                0.33636,                0.32422,                 0.1529,                0.47508,                0.31269,                0.29425,                0.14176,                   1.86,                 3.7433,                 2.2526,                 1.7204,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.3636,                 2.2093,                 1.3287,                 1.3444,                 0.4016,                0.35388,                0.30287,                0.13829,                0.45823,                    0.3,                0.26945,                0.11525,                  1.816,                 4.1081,                 2.2697,                 1.7386,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.3197,                 2.1912,                 1.2739,                 1.3301,                0.43541,                0.38182,                0.33004,                0.17108,                 0.4675,                0.32727,                0.29299,                0.14119,                 1.6869,                 3.5434,                 2.1478,                 1.6678,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.3218,                 2.0192,                 1.2111,                 1.3403,                0.36684,                0.38182,                0.23541,                0.12219,                0.35195,                0.30909,                0.21729,                0.09246,                 1.7309,                 3.2545,                 2.4689,                 1.6329,               0.001736,               0.001736,               0.001736
                     43,                 1.2655,                 2.0552,                 1.1872,                 1.2715,                0.49511,                0.31818,                0.31878,                0.14746,                0.49511,                0.31818,                0.31203,                0.14303,                 1.8048,                 3.3869,                 2.5732,                 1.7002,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.3067,                  2.035,                 1.2293,                 1.3095,                0.39361,                0.29091,                0.22935,                0.10571,                0.45843,                0.25455,                0.21277,                 0.0911,                 1.7894,                 3.4537,                 2.3514,                 1.6761,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.2963,                 2.0403,                 1.2425,                 1.2959,                0.44601,                0.39091,                0.36646,                 0.1894,                0.56052,                0.29091,                0.33306,                0.16088,                 1.6696,                 3.3581,                  1.929,                 1.5518,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.2786,                 2.1143,                 1.2547,                 1.2959,                0.47026,                0.39091,                0.34824,                0.18489,                0.54652,                0.34545,                0.31765,                0.15025,                 1.6821,                 3.8986,                 2.0902,                 1.5984,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.2652,                 2.0606,                 1.1775,                 1.2833,                 0.4821,                0.39775,                0.34443,                0.18895,                 0.5687,                0.34545,                0.35709,                 0.1494,                  1.677,                   3.68,                  2.163,                  1.656,               0.001703,               0.001703,               0.001703
                     48,                 1.3059,                 2.0286,                 1.2301,                   1.31,                0.41984,                0.42727,                0.36425,                0.19044,                0.59036,                0.33636,                0.32606,                0.14873,                 1.6605,                 3.8647,                 1.9863,                 1.5973,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.2243,                 2.0623,                 1.1424,                 1.2477,                0.55517,                0.41818,                0.37983,                0.19714,                0.52286,                    0.4,                0.33879,                0.16013,                 1.6918,                 3.8873,                 1.9636,                 1.6623,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.2252,                 2.0285,                 1.1106,                 1.2537,                0.52318,                0.43636,                0.36085,                0.17591,                0.52341,                0.40909,                0.33632,                0.15049,                 1.7591,                 4.0725,                 2.1258,                  1.655,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.2468,                 2.0328,                 1.1222,                 1.2606,                0.46839,                0.42455,                0.35566,                0.18229,                0.45169,                    0.4,                0.33911,                0.16541,                  1.757,                  4.085,                 2.1557,                 1.6873,              0.0016766,              0.0016766,              0.0016766
                     52,                 1.2462,                 1.9354,                 1.1308,                 1.2668,                0.31179,                0.39091,                0.27744,                0.14961,                0.47986,                0.23636,                0.23459,                 0.1165,                 1.7485,                 3.9845,                 2.3255,                 1.7555,                0.00167,                0.00167,                0.00167
                     53,                 1.2007,                 1.9366,                 1.0731,                 1.2333,                0.39621,                0.36364,                0.27223,                0.16021,                0.39671,                0.29891,                0.26067,                0.14707,                 1.7018,                 3.4519,                 2.2034,                 1.6504,              0.0016634,              0.0016634,              0.0016634
                     54,                 1.1501,                 1.8133,                  1.014,                 1.2093,                0.37179,                0.33636,                0.30302,                 0.1709,                0.37619,                0.33636,                 0.2898,                0.15779,                 1.7093,                 3.4869,                 2.1583,                 1.6208,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.2295,                 1.9135,                 1.1011,                 1.2718,                0.47995,                0.32727,                0.35648,                0.19629,                0.50747,                0.29037,                0.31102,                0.16701,                  1.675,                 3.6222,                 2.0025,                 1.5798,              0.0016502,              0.0016502,              0.0016502
                     56,                  1.191,                 1.9485,                 1.0839,                 1.2422,                0.56675,                0.31818,                 0.3434,                0.17423,                 0.5693,                    0.3,                0.31613,                0.17246,                 1.7631,                  3.487,                 2.1086,                 1.6154,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.1915,                 1.8381,                 1.0407,                 1.2433,                0.56474,                0.36364,                0.39088,                 0.1955,                0.59123,                0.27273,                 0.3161,                0.16307,                 1.7594,                  3.444,                 2.0693,                 1.6264,               0.001637,               0.001637,               0.001637
                     58,                 1.1678,                 1.8811,                 1.0278,                 1.2211,                0.41887,                0.36697,                0.32661,                0.16209,                0.51578,                0.26364,                0.25291,                0.12808,                 1.8683,                 3.9586,                 2.2694,                 1.6666,              0.0016304,              0.0016304,              0.0016304
