                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7233,                 1.5846,                 1.5637,                0.77203,                0.21154,                0.26624,                0.12262,                 2.4142,                 2.8524,                 2.1822,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.6751,                 1.4553,                 1.5223,                0.40129,                0.40385,                0.30138,                  0.126,                 2.4115,                 2.6452,                 2.1086,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.6141,                 1.4259,                 1.4851,                0.49582,                0.37835,                0.38379,                0.18055,                 2.3338,                 2.2631,                 2.0855,               0.001769,               0.001769,               0.001769
                     38,                 1.6493,                  1.368,                 1.4867,                0.42359,                0.45232,                0.36482,                0.18272,                  2.189,                 2.1642,                 1.8629,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.6901,                 1.4901,                  1.551,                0.57577,                0.36538,                0.36818,                0.17228,                 2.1944,                  2.052,                 1.9064,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.7187,                 1.3894,                 1.5042,                0.48792,                0.32989,                0.34875,                0.14781,                 2.2325,                 2.3877,                 1.9851,              0.0017492,              0.0017492,              0.0017492
                     41,                  1.636,                 1.3388,                 1.4492,                0.58082,                0.36538,                0.37565,                0.17586,                 2.1607,                 2.2423,                 1.9141,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.5711,                 1.3411,                 1.4457,                0.57359,                0.30769,                0.36056,                0.17917,                 2.0773,                 2.3014,                 1.8881,               0.001736,               0.001736,               0.001736
                     43,                  1.625,                 1.3611,                 1.5171,                0.55732,                0.32692,                0.35468,                0.16443,                 2.1929,                 2.4706,                 1.8861,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.6381,                 1.4022,                 1.5033,                0.52004,                0.40385,                0.43037,                0.18902,                  2.165,                 1.9953,                 1.8338,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.6094,                  1.294,                  1.439,                0.47671,                    0.5,                0.44819,                0.19047,                  2.277,                 2.0312,                 1.9555,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.5247,                 1.2588,                 1.4096,                0.53585,                0.44231,                0.43489,                0.19978,                 2.3004,                 1.9202,                 2.0267,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.5536,                 1.3052,                 1.4798,                0.66876,                0.38462,                0.44915,                0.19984,                 2.1541,                 2.1261,                 1.9537,               0.001703,               0.001703,               0.001703
                     48,                 1.5716,                 1.2298,                 1.4528,                0.66977,                0.38462,                0.42804,                 0.2015,                 2.1308,                 2.0427,                 1.8943,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.5938,                 1.2523,                 1.4805,                0.62299,                0.36538,                0.42467,                0.17746,                 2.2403,                 1.9759,                 1.9321,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.6003,                 1.2782,                 1.4498,                0.64891,                0.42308,                0.45083,                0.17933,                 2.3521,                 1.9826,                 1.9829,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.5847,                 1.2635,                 1.4304,                0.50455,                0.48077,                0.46448,                 0.2097,                 2.2346,                 1.9396,                 1.9013,              0.0016766,              0.0016766,              0.0016766
                     52,                 1.5562,                 1.2344,                 1.4191,                0.69933,                0.34615,                0.44122,                0.22035,                  2.256,                 1.8967,                 1.9453,                0.00167,                0.00167,                0.00167
                     53,                 1.5634,                 1.1879,                  1.402,                0.94427,                0.32587,                0.45044,                 0.2312,                 2.3082,                 2.1271,                 1.9225,              0.0016634,              0.0016634,              0.0016634
                     54,                 1.6217,                 1.2497,                  1.457,                0.66935,                0.32692,                0.43009,                0.20516,                 2.2567,                 1.9955,                 1.9507,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.5448,                 1.2854,                 1.4042,                0.61758,                0.36538,                0.39344,                0.17486,                 2.2799,                 2.0006,                  1.981,              0.0016502,              0.0016502,              0.0016502
                     56,                 1.4905,                 1.1723,                 1.3603,                0.47962,                0.42543,                0.34327,                0.14112,                 2.3577,                 2.2634,                 2.0882,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.5414,                 1.1923,                 1.4175,                0.43025,                    0.5,                0.39199,                0.18553,                 2.2086,                 2.0686,                 1.9342,               0.001637,               0.001637,               0.001637
                     58,                 1.4631,                  1.165,                 1.3568,                0.57222,                0.38462,                0.37217,                 0.1708,                 2.3639,                  1.971,                 2.0486,              0.0016304,              0.0016304,              0.0016304
